Security Code	Security Id	Ticker	Security Name	Current Price	Market Capitalization	Company Type	Industry Type	Macro-Economic Indicator	Sector	Industry	Industry Subgroup Name
500002	ABB	NSE:ABB	ABB India Ltd	5169.5	109924.5393	Large Cap	Heavy Electrical Equipment	Industrials	Capital Goods	Electrical Equipment	Heavy Electrical Equipment
500003	AEGISLOG	NSE:AEGISLOG	Aegis Logistics Ltd	799	27916.77619	Small Cap	Trading - Gas	Energy	Oil, Gas & Consumable Fuels	Gas	Trading - Gas
500008	ARE&M	NSE:ARE&M	Amara Raja Energy & Mobility Ltd	1000.5	18245.8	Small Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
500009	AMBALALSA	NSE:AMBALALSA	Ambalal Sarabhai Enterprises Ltd	32.85	251.7403131	SME	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
500012	ANDHRAPET	NSE:ANDHRAPET	Andhra Petrochemicals Ltd	51.98	441.6823729	SME	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
500013	ANSALAPI	NSE:ANSALAPI	Ansal Properties & Infrastructure Ltd	4.37	68.7858957	SME	Residential- Commercial Projects	Consumer Discretionary	Realty	Realty	Residential, Commercial Projects
500014	UTIQUE	NSE:UTIQUE	Utique Enterprises Ltd	5.82	28.79604	SME	Precious Metals	Commodities	Metals & Mining	Non - Ferrous Metals	Precious Metals
500016	ARUNAHTEL	NSE:ARUNAHTEL	Aruna Hotels Ltd	8.67	29.3913002	SME	Hotels & Resorts	Consumer Discretionary	Consumer Services	Leisure Services	Hotels & Resorts
500020	BOMDYEING	NSE:BOMDYEING	Bombay Dyeing & Manufacturing Company Ltd	174.1	3601.131533	Small Cap	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500023	ASIANHOTNR	NSE:ASIANHOTNR	Asian Hotels (North) Ltd	332.05	645.9441463	Micro Cap	Hotels & Resorts	Consumer Discretionary	Consumer Services	Leisure Services	Hotels & Resorts
500027	ATUL	NSE:ATUL	Atul Ltd	5920	17459.89215	Small Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
500028	ATVPR	NSE:ATVPR	ATV Projects India Ltd	32.46	172.4191079	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
500031	BAJAJELEC	NSE:BAJAJELEC	Bajaj Electricals Ltd	532.1	6158.439159	Small Cap	Household Appliances	Consumer Discretionary	Consumer Durables	Consumer Durables	Household Appliances
500032	BAJAJHIND	NSE:BAJAJHIND	Bajaj Hindusthan Sugar Ltd	22.57	2868.732955	Small Cap	Sugar	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Agricultural Food & other Products	Sugar
500033	FORCEMOT	NSE:FORCEMOT	Force Motors Ltd	16400	21970.50801	Small Cap	Passenger Cars & Utility Vehicles	Consumer Discretionary	Automobile and Auto Components	Automobiles	Passenger Cars & Utility Vehicles
500034	BAJFINANCE	NSE:BAJFINANCE	Bajaj Finance Ltd	1091.15	67971.85415	Mid Cap	Non Banking Financial Company (NBFC)	Financial Services	Financial Services	Finance	Non Banking Financial Company (NBFC)
500038	BALRAMCHIN	NSE:BALRAMCHIN	Balrampur Chini Mills Ltd	468.5	9476.289405	Small Cap	Sugar	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Agricultural Food & other Products	Sugar
500039	BANCOINDIA	NSE:BANCOINDIA	Banco Products (India) Ltd	724	10369.53148	Small Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
500040	ABREL	NSE:ABREL	Aditya Birla Real Estate Ltd	1699	18781.51055	Small Cap	Paper & Paper Products	Commodities	Forest Materials	Paper, Forest & Jute Products	Paper & Paper Products
500041	BANARISUG	NSE:BANARISUG	Bannari Amman Sugars Ltd	3500	4388.895	Small Cap	Sugar	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Agricultural Food & other Products	Sugar
500042	BASF	NSE:BASF	BASF India Ltd	4455.5	19285.9169	Small Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
500043	BATAINDIA	NSE:BATAINDIA	Bata India Ltd	1176	14965.32684	Small Cap	Footwear	Consumer Discretionary	Consumer Durables	Consumer Durables	Footwear
500048	BEML	NSE:BEML	BEML Ltd	4398.1	18323.52814	Small Cap	Construction Vehicles	Industrials	Capital Goods	Agricultural, Commercial & Construction Vehicles	Construction Vehicles
500049	BEL	NSE:BEL	Bharat Electronics Ltd	418.4	305914.2093	Large Cap	Aerospace & Defense	Industrials	Capital Goods	Aerospace & Defense	Aerospace & Defense
500052	BEPL	NSE:BEPL	Bhansali Engineering Polymers Ltd	99.06	2465.19125	Small Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
500058	BIHSPONG	NSE:BIHSPONG	Bihar Sponge Iron Ltd	13.15	118.6201107	SME	Sponge Iron	Commodities	Metals & Mining	Ferrous Metals	Sponge Iron
500059	BINANIIND	NSE:BINANIIND	Binani Industries Ltd	11.89	35.8515332	SME	Holding Company	Financial Services	Financial Services	Finance	Holding Company
500060	BIRLACABLE	NSE:BIRLACABLE	Birla Cable Ltd	158.05	475.586649	SME	Telecom - Equipment & Accessories	Telecommunication	Telecommunication	Telecom - Equipment & Accessories	Telecom - Equipment & Accessories
