Date,Type,Symbol,Name,Buy/Sell Price,Shares
22/06/2021,BUY,IOB,Indian Overseas Bank,-26.30,3
26/11/2021,BUY,RPOWER,Reliance Power Ltd,-13.55,36
14/06/2023,BUY,IKIO,IKIO Technologies Ltd,-285.00,17
10/07/2023,BUY,MTARTECH,MTAR Technologies Ltd,-1932.00,1
10/07/2023,BUY,AUBANK,AU Small Finance Bank Ltd,-763.65,2
10/07/2023,BUY,INDUSINDBK,Indusind Bank Ltd,-1366.75,1
10/07/2023,BUY,SBIN,State Bank of India,-592.50,1
10/07/2023,BUY,YESBANK,Yes Bank Ltd,-17.04,26
24/07/2023,BUY,DATAPATTNS,Data Patterns (India) Ltd,-2012.90,6
24/08/2023,BUY,ETERNAL,Eternal Ltd,-81.27,74
21/12/2023,BUY,INOXINDIA,INOX India Ltd,-927.70,6
21/12/2023,BUY,RPOWER,Reliance Power Ltd,-22.30,18
29/12/2023,BUY,INNOVACAP,Innova Captab Ltd,-448.00,33
05/12/2024,BUY,KPITTECH,KPIT Technologies Ltd,-1491.30,7
05/12/2024,BUY,NTPCGREEN,NTPC Green Energy Ltd,-141.09,3
05/12/2024,BUY,SUZLON,Suzlon Energy Ltd,-68.18,1
05/12/2024,BUY,RTNPOWER,RattanIndia Power Ltd,-14.85,3
